entity_id,name,domain,stress_score,logistic_score,viability_score
ncbi_gene_4348563,LOC4348563,biology,0.11583592661841509,0.9236149246656711,0.51972544
ncbi_gene_4348176,LOC4348176,biology,0.3628421876630983,0.5856845697415353,0.4742634
ncbi_gene_4347999,LOC4347999,biology,0.1240447707918172,0.8599907001019863,0.49201775
ncbi_gene_4343086,PHR2,biology,0.07673865120260347,1.0,0.5383693
ncbi_gene_4343795,LOC4343795,biology,0.32482190419136237,0.5873357794991299,0.45607883
ncbi_gene_4343793,LOC4343793,biology,0.10954978667153219,1.0,0.5547749
ncbi_gene_4343785,LOC4343785,biology,0.22471946314123126,0.7389569565345504,0.4818382
ncbi_gene_4343765,LOC4343765,biology,0.10148385017322953,1.0,0.5507419
ncbi_gene_4343753,LOC4343753,biology,0.1019537766894194,1.0,0.5509769
ncbi_gene_4343735,LOC4343735,biology,0.08315899781354523,1.0,0.5415795
ncbi_gene_4343726,LOC4343726,biology,0.0854338961867636,1.0,0.5427169
ncbi_gene_4343719,LOC4343719,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4343653,LOC4343653,biology,0.44532623689573264,0.5158899462240909,0.4806081
ncbi_gene_4343649,LOC4343649,biology,0.06914292791265714,1.0,0.53457147
ncbi_gene_4343645,LOC4343645,biology,0.17111998454981758,0.8450056725745544,0.50806284
ncbi_gene_4343617,LOC4343617,biology,0.11383108266179794,0.9305933899636227,0.5222122
ncbi_gene_4343590,LOC4343590,biology,0.1090419886882293,1.0,0.55452096
ncbi_gene_4343584,LOC4343584,biology,0.18288997968507598,0.8114492670591358,0.4971696
ncbi_gene_4343373,CPK19,biology,0.1984296848660139,0.7534656866373175,0.47594768
ncbi_gene_4343305,LOC4343305,biology,0.23747936757136387,0.7293518195215003,0.4834156
ncbi_gene_4343299,LOC4343299,biology,0.11636265402178674,0.9236149246656711,0.5199888
ncbi_gene_4343275,LOC4343275,biology,0.20864186163645945,0.7443196268161365,0.47648075
ncbi_gene_4343226,LOC4343226,biology,0.06928872603695448,1.0,0.53464437
ncbi_gene_4343198,LOC4343198,biology,0.09227339356834108,1.0,0.5461367
ncbi_gene_4343122,LOC4343122,biology,0.16562277656437402,0.8450056725745544,0.50531423
ncbi_gene_4343832,LOC4343832,biology,0.38280480872999617,0.5832459929335279,0.4830254
ncbi_gene_4343837,LOC4343837,biology,0.1696072709414869,0.8450056725745544,0.50730646
ncbi_gene_4343840,LOC4343840,biology,0.43973871889505206,0.5299664711356599,0.48485258
ncbi_gene_4344210,LOC4344210,biology,0.07847170848257466,1.0,0.53923583
ncbi_gene_4344397,LOC4344397,biology,0.30197776698074785,0.659501573835048,0.48073965
ncbi_gene_4344396,LOC4344396,biology,0.07631974729800563,1.0,0.53815985
ncbi_gene_4344389,LOC4344389,biology,0.1984296848660139,0.7534656866373175,0.47594768
ncbi_gene_4344382,LOC4344382,biology,0.10626833873230843,1.0,0.55313414
ncbi_gene_4344331,LOC4344331,biology,0.07631974729800563,1.0,0.53815985
ncbi_gene_4344325,LOC4344325,biology,0.4148947235478819,0.536371057853579,0.4756329
ncbi_gene_4344279,PRX112,biology,0.12668043666070045,0.8450056725745544,0.48584306
ncbi_gene_4344233,LOC4344233,biology,0.07631974729800563,1.0,0.53815985
ncbi_gene_4344217,LOC4344217,biology,0.29735204877335025,0.659501573835048,0.4784268
